,Word,Frequenty
0,the,805
1,of,463
2,and,425
3,in,408
4,be,322
5,romania,193
6,a,173
7,to,164
8,romanian,100
9,have,98
10,with,97
11,as,88
12,by,78
13,for,60
14,at,58
15,from,52
16,on,44
17,country,41
18,it,39
19,other,37
20,world,37
21,which,35
22,european,32
23,include,32
24,main,31
25,year,31
26,population,30
27,state,30
28,an,30
29,also,29
30,union,28
31,large,28
32,during,28
33,that,28
34,europe,27
35,its,27
36,or,26
37,bucharest,24
38,government,24
39,total,24
40,over,24
41,war,23
42,one,23
43,first,22
44,million,22
45,since,21
46,language,20
47,transylvania,20
48,most,20
49,after,20
50,while,20
51,area,19
52,accord,19
53,estimate,18
54,high,18
55,eu,18
56,national,18
57,century,17
58,wallachia,17
59,economy,17
60,rate,17
61,early,17
62,part,17
63,foreign,17
64,but,17
65,international,17
66,city,16
67,gdp,16
68,new,16
69,power,16
70,between,16
71,church,16
72,moldavia,15
73,time,15
74,only,15
75,become,15
76,county,15
77,there,15
78,than,15
79,republic,14
80,low,14
81,history,14
82,principality,14
83,communist,14
84,join,14
85,this,14
86,into,14
87,force,14
88,several,14
89,economic,14
90,great,13
91,december,13
92,eastern,13
93,territory,13
94,period,13
95,use,13
96,two,13
97,culture,12
98,lead,12
99,roman,12
100,same,12
101,well,12
102,more,12
103,some,12
104,system,12
105,united,11
106,kingdom,11
107,per,11
108,member,11
109,climate,11
110,timișoara,11
111,until,11
112,growth,11
113,orthodox,11
114,military,11
115,around,11
116,people,11
117,won,11
118,protest,11
119,january,10
120,summer,10
121,hungary,10
122,iași,10
123,revolution,10
124,relation,10
125,such,10
126,treaty,10
127,reach,10
128,make,10
129,popular,10
130,average,10
131,brașov,10
132,player,10
133,all,9
134,empire,9
135,democratic,9
136,moldova,9
137,name,9
138,soviet,9
139,religion,9
140,sport,9
141,rule,9
142,both,9
143,number,9
144,billion,9
145,take,9
146,cup,9
147,official,8
148,minority,8
149,german,8
150,president,8
151,under,8
152,ottoman,8
153,increase,8
154,regime,8
155,north,8
156,almost,8
157,constanța,8
158,form,8
159,follow,8
160,development,8
161,base,8
162,age,8
163,tourism,8
164,education,8
165,french,8
166,former,8
167,western,8
168,his,8
169,result,8
170,three,8
171,local,8
172,who,8
173,ion,8
174,ranked,8
175,up,8
176,nicolae,8
177,court,8
178,school,8
179,medal,8
180,see,7
181,flag,7
182,capital,7
183,prime,7
184,minister,7
185,independence,7
186,call,7
187,constitution,7
188,central,7
189,black,7
190,major,7
191,danube,7
192,i,7
193,germany,7
194,northern,7
195,rank,7
196,energy,7
197,dacia,7
198,majority,7
199,division,7
200,cuisine,7
201,source,7
202,know,7
203,leader,7
204,region,7
205,site,7
206,gold,7
207,would,7
208,vote,7
209,second,7
210,june,7
211,party,7
212,among,7
213,influence,7
214,referendum,7
215,sibiu,7
216,significant,7
217,council,7
218,level,7
219,tourist,7
220,castle,7
221,university,7
222,game,7
223,team,7
224,show,6
225,map,6
226,hungarian,6
227,michael,6
228,sq,6
229,caput,6
230,side,6
231,bessarabia,6
232,august,6
233,bulgaria,6
234,rise,6
235,through,6
236,against,6
237,like,6
238,nato,6
239,romance,6
240,out,6
241,common,6
242,king,6
243,however,6
244,achieve,6
245,single,6
246,antonescu,6
247,reform,6
248,oil,6
249,receive,6
250,policy,6
251,third,6
252,grow,6
253,gheorghe,6
254,participate,6
255,living,6
256,law,6
257,approximately,6
258,no,6
259,airport,6
260,list,6
261,traditional,6
262,ethnic,5
263,parliament,5
264,may,5
265,census,5
266,election,5
267,bukovina,5
268,change,5
269,adopt,5
270,border,5
271,sea,5
272,west,5
273,urban,5
274,general,5
275,delta,5
276,mountain,5
277,end,5
278,ii,5
279,fight,5
280,begin,5
281,feature,5
282,company,5
283,speaker,5
284,middle,5
285,contemporary,5
286,administrative,5
287,infrastructure,5
288,holiday,5
289,primary,5
290,secondary,5
291,latin,5
292,document,5
293,spell,5
294,late,5
295,come,5
296,english,5
297,later,5
298,last,5
299,place,5
300,troop,5
301,consider,5
302,live,5
303,independent,5
304,many,5
305,developed,5
306,they,5
307,justice,5
308,not,5
309,support,5
310,remain,5
311,peace,5
312,allow,5
313,these,5
314,due,5
315,political,5
316,iliescu,5
317,elect,5
318,băsescu,5
319,reserve,5
320,corruption,5
321,far,5
322,cover,5
323,temperature,5
324,craiova,5
325,public,5
326,bank,5
327,decline,5
328,successful,5
329,spoken,5
330,olympic,5
331,free,4
332,arm,4
333,klaus,4
334,iohannis,4
335,alexandru,4
336,ioan,4
337,cuza,4
338,socialist,4
339,november,4
340,share,4
341,southeastern,4
342,serbia,4
343,predominantly,4
344,square,4
345,kilometre,4
346,inhabitant,4
347,river,4
348,before,4
349,peak,4
350,officially,4
351,axis,4
352,ally,4
353,nazi,4
354,occupation,4
355,market,4
356,human,4
357,annual,4
358,service,4
359,net,4
360,christian,4
361,native,4
362,demographic,4
363,tradition,4
364,italian,4
365,travel,4
366,notable,4
367,term,4
368,refer,4
369,russian,4
370,now,4
371,soldier,4
372,dacians,4
373,territorial,4
374,near,4
375,process,4
376,various,4
377,getae,4
378,province,4
379,origin,4
380,full,4
381,few,4
382,where,4
383,coup,4
384,dobruja,4
385,marked,4
386,declare,4
387,within,4
388,october,4
389,sign,4
390,social,4
391,unemployment,4
392,ploiești,4
393,role,4
394,target,4
395,kill,4
396,contribution,4
397,even,4
398,though,4
399,do,4
400,others,4
401,direct,4
402,natural,4
403,agriculture,4
404,any,4
405,ceaușescu,4
406,debt,4
407,organization,4
408,measure,4
409,intervention,4
410,traian,4
411,roșia,4
412,montană,4
413,citizen,4
414,compare,4
415,diaspora,4
416,industrial,4
417,privatization,4
418,gas,4
419,host,4
420,standard,4
421,medical,4
422,america,4
423,italy,4
424,their,4
425,transylvanian,4
426,heritage,4
427,specie,4
428,open,4
429,maximum,4
430,winter,4
431,de,4
432,july,4
433,galați,4
434,judicial,4
435,mission,4
436,recent,4
437,air,4
438,currently,4
439,each,4
440,commune,4
441,bucurești,4
442,attract,4
443,investment,4
444,network,4
445,passenger,4
446,coandă,4
447,maramureș,4
448,attraction,4
449,greek,4
450,metropolitan,4
451,win,4
452,christmas,4
453,tennis,4
454,handball,4
455,football,4
456,olympics,4
457,us,3
458,rom,3
459,ukrainian,3
460,viorica,3
461,dăncilă,3
462,house,3
463,senate,3
464,chamber,3
465,brave,3
466,march,3
467,very,3
468,leu,3
469,date,3
470,mm,3
471,saint,3
472,internet,3
473,monarchy,3
474,upon,3
475,ukraine,3
476,course,3
477,carpathian,3
478,m,3
479,modern,3
480,personal,3
481,banat,3
482,when,3
483,throughout,3
484,regain,3
485,pact,3
486,rapid,3
487,producer,3
488,petrom,3
489,nation,3
490,themselves,3
491,communism,3
492,integration,3
493,geography,3
494,science,3
495,technology,3
496,healthcare,3
497,monument,3
498,meaning,3
499,letter,3
500,old,3
501,current,3
502,român,3
503,rumân,3
504,gradually,3
505,switch,3
506,trajan,3
507,found,3
508,village,3
509,thracian,3
510,similarity,3
511,ad,3
512,give,3
513,birth,3
514,basarab,3
515,balkan,3
516,suzerainty,3
517,preserve,3
518,partial,3
519,internal,3
520,mircea,3
521,constantin,3
522,still,3
523,wallachian,3
524,blue,3
525,paris,3
526,replace,3
527,acquire,3
528,southern,3
529,secret,3
530,campaign,3
531,turn,3
532,month,3
533,left,3
534,alone,3
535,conflict,3
536,production,3
537,decade,3
