,Word,Frequenty
0,sleep,33
1,a,29
2,of,23
3,the,23
4,be,21
5,and,16
6,your,15
7,to,15
8,that,15
9,walker,12
10,in,11
11,for,10
12,on,9
13,hour,9
14,night,8
15,you,8
16,say,8
17,cancer,7
18,as,7
19,body,6
20,when,6
21,can,6
22,have,6
23,put,5
24,at,5
25,or,5
26,six,5
27,get,5
28,enough,5
29,by,4
30,just,4
31,dead,4
32,it,4
33,an,4
34,kill,4
35,well,4
36,he,4
37,time,4
38,cell,4
39,heart,4
40,than,3
41,car,3
42,crash,3
43,year,3
44,week,3
45,make,3
46,his,3
47,up,3
48,around,3
49,world,3
50,health,3
51,eight,3
52,even,3
53,if,3
54,lack,3
55,blood,3
56,could,3
57,also,3
58,after,3
59,people,3
60,call,3
61,will,3
62,disadvantage,2
63,fight,2
64,off,2
65,disease,2
66,more,2
67,deadly,2
68,cause,2
69,aaa,2
70,short,2
71,five,2
72,with,2
73,from,2
74,not,2
75,us,2
76,who,2
77,lab,2
78,book,2
79,we,2
80,out,2
81,advice,2
82,business,2
83,shorter,2
84,life,2
85,two,2
86,organization,2
87,both,2
88,about,2
89,seven,2
90,damage,2
91,some,2
92,case,2
93,mean,2
94,schedule,2
95,deprivation,2
96,insufficient,2
97,how,2
98,sugar,2
99,such,2
100,less,2
101,probably,2
102,lose,2
103,daylight,2
104,save,2
105,study,2
106,their,2
107,found,2
108,attack,2
109,since,2
110,include,1
111,drowsy,1
112,drive,1
113,accord,1
114,rocker,1
115,warren,1
116,zevon,1
117,often,1
118,credit,1
119,coin,1
120,mantra,1
121,embrace,1
122,everyone,1
123,party,1
124,college,1
125,kid,1
126,exercise,1
127,bon,1
128,jovi,1
129,onna,1
130,live,1
131,while,1
132,alive,1
133,intoxicate,1
134,thought,1
135,but,1
136,truth,1
137,literally,1
138,what,1
139,neuroscientist,1
140,matthew,1
141,directs,1
142,neuroimaging,1
143,uc,1
144,berkeley,1
145,which,1
146,publish,1
147,october,1
148,dolled,1
149,nba,1
150,nfl,1
151,pixar,1
152,among,1
153,others,1
154,first,1
155,deep,1
156,dive,1
157,into,1
158,late,1
159,research,1
160,importance,1
161,guide,1
162,succinctly,1
163,sum,1
164,overall,1
165,stance,1
166,snooze,1
167,estimate,1
168,third,1
169,adult,1
170,recommend,1
171,good,1
172,baseline,1
173,argues,1
174,routinely,1
175,only,1
176,per,1
177,do,1
178,serious,1
179,insists,1
180,strict,1
181,himself,1
182,bed,1
183,least,1
184,spends,1
185,portion,1
186,fall,1
187,asleep,1
188,wake,1
189,help,1
190,keep,1
191,him,1
192,productive,1
193,emotionally,1
194,physically,1
195,fit,1
196,here,1
197,three,1
198,key,1
199,way,1
200,hurt,1
201,brain,1
202,immune,1
203,system,1
204,slept,1
205,harder,1
206,illness,1
207,range,1
208,common,1
209,cold,1
210,depletes,1
211,store,1
212,killer,1
213,type,1
214,lymphocyte,1
215,nix,1
216,tumor,1
217,virus,1
218,single,1
219,low,1
220,count,1
221,miss,1
222,course,1
223,chronic,1
224,link,1
225,increase,1
226,instance,1
227,obesity,1
228,stroke,1
229,diabetes,1
230,change,1
231,insulin,1
232,operates,1
233,quickly,1
234,absorb,1
235,doctor,1
236,diagnose,1
237,level,1
238,elevate,1
239,track,1
240,become,1
241,diabetic,1
242,vessel,1
243,kidney,1
244,already,1
245,motion,1
246,circumstance,1
247,true,1
248,them,1
249,built,1
250,survive,1
251,laboratory,1
252,condition,1
253,lucky,1
254,individual,1
255,fraction,1
256,one,1
257,percent,1
258,population,1
259,share,1
260,gene,1
261,incredibly,1
262,rare,1
263,think,1
264,like,1
265,global,1
266,experiment,1
267,perform,1
268,billion,1
269,twice,1
270,every,1
271,spring,1
272,clock,1
273,push,1
274,forward,1
275,accident,1
276,rate,1
277,jump,1
278,see,1
279,this,1
280,play,1
281,too,1
282,participant,1
283,spent,1
284,instead,1
285,nine,1
286,reaction,1
287,slow,1
288,half,1
289,second,1
290,long,1
291,lapse,1
292,cruise,1
293,mph,1
294,foundation,1
295,traffic,1
296,safety,1
297,tire,1
298,driver,1
299,spike,1
300,stress,1
301,researcher,1
302,men,1
303,japan,1
304,likelier,1
305,counterpart,1
306,debt,1
307,carcinogenic,1
308,breeding,1
309,ground,1
310,sleepiness,1
311,now,1
312,blame,1
313,colon,1
314,breast,1
315,prostate,1
316,may,1
317,give,1
318,rise,1
319,melatonin,1
320,suppress,1
321,work,1
322,carcinogen,1
323,because,1
324,all,1
325,these,1
326,factor,1
327,scientist,1
328,warn,1
329,hang,1
330,idea,1
331,truly,1
332,sooner,1
333,quality,1
334,significantly,1
335,bad,1
336,told,1
337,insider,1
