,Word,Frequenty
0,the,403
1,to,175
2,of,152
3,be,135
4,a,132
5,in,121
6,and,112
7,have,86
8,that,71
9,chinese,65
10,for,49
11,su,42
12,with,37
13,china,31
14,as,31
15,from,30
16,on,30
17,us,29
18,he,29
19,they,28
20,an,27
21,one,27
22,it,26
23,say,26
24,their,24
25,but,24
26,bin,24
27,by,23
28,at,23
29,hacker,23
30,would,21
31,his,21
32,its,21
33,make,19
34,state,18
35,about,17
36,time,16
37,them,16
38,military,15
39,fbi,15
40,two,14
41,espionage,14
42,case,14
43,garratts,13
44,into,13
45,even,13
46,more,13
47,steal,13
48,against,13
49,get,12
50,take,12
51,most,12
52,through,12
53,company,12
54,american,12
55,government,12
56,agent,12
57,all,11
58,year,11
59,out,11
60,who,11
61,how,11
62,up,11
63,new,11
64,this,11
65,back,11
66,justice,11
67,after,10
68,united,10
69,hack,10
70,between,10
71,charge,10
72,vallese,10
73,over,9
74,work,9
75,not,9
76,kevin,9
77,later,9
78,first,9
79,country,9
80,other,9
81,security,9
82,department,9
83,file,9
84,call,8
85,accord,8
86,just,8
87,canada,8
88,there,8
89,design,8
90,secret,8
91,turn,8
92,carlin,8
93,obama,8
94,go,8
95,begin,8
96,president,8
97,canadian,8
98,include,8
99,email,8
100,plane,8
101,garratt,7
102,house,7
103,i,7
104,help,7
105,do,7
106,around,7
107,want,7
108,some,7
109,away,7
110,no,7
111,theft,7
112,target,7
113,spy,7
114,white,7
115,firm,7
116,system,7
117,ministry,7
118,army,7
119,national,7
120,agency,7
121,project,7
122,talk,7
123,than,7
124,which,7
125,public,7
126,knew,7
127,what,7
128,arrest,7
129,told,7
130,julia,6
131,nearly,6
132,couple,6
133,dandong,6
134,north,6
135,before,6
136,any,6
137,see,6
138,month,6
139,name,6
140,only,6
141,trade,6
142,intelligence,6
143,recall,6
144,cybersecurity,6
145,release,6
146,economic,6
147,ever,6
148,indictment,6
149,day,6
150,own,6
151,right,6
152,both,6
153,court,6
154,him,6
155,extradition,6
156,come,5
157,network,5
158,then,5
159,three,5
160,realize,5
161,foreign,5
162,few,5
163,decade,5
164,also,5
165,become,5
166,campaign,5
167,far,5
168,big,5
169,related,5
170,general,5
171,meeting,5
172,or,5
173,step,5
174,press,5
175,again,5
176,washington,5
177,five,5
178,intrusion,5
179,pla,5
180,need,5
181,now,5
182,put,5
183,will,5
184,message,5
185,well,5
186,large,5
187,beijing,5
188,document,5
189,official,5
190,while,5
191,if,5
192,behind,5
193,agreement,5
194,city,4
195,across,4
196,korea,4
197,thing,4
198,write,4
199,way,4
200,seem,4
201,when,4
202,everything,4
203,still,4
204,economy,4
205,world,4
206,advanced,4
207,part,4
208,intellectual,4
209,property,4
210,commercial,4
211,almost,4
212,developed,4
213,publicly,4
214,detail,4
215,story,4
216,since,4
217,hand,4
218,billion,4
219,administration,4
220,west,4
221,business,4
222,able,4
223,you,4
224,reach,4
225,xi,4
226,met,4
227,may,4
228,move,4
229,change,4
230,behavior,4
231,perhaps,4
232,next,4
233,actually,4
234,someone,4
235,we,4
236,appear,4
237,office,4
238,boeing,4
239,air,4
240,use,4
241,give,4
242,operation,4
243,flight,4
244,found,4
245,dembosky,4
246,once,4
247,aviation,4
248,partner,4
249,research,4
250,many,4
251,least,4
252,caught,4
253,authority,4
254,zimmerman,4
255,though,4
256,visit,4
257,september,4
258,set,4
259,spent,3
260,coffee,3
261,border,3
262,expat,3
263,look,3
264,place,3
265,so,3
266,dinner,3
267,open,3
268,people,3
269,thought,3
270,men,3
271,vehicle,3
272,pull,3
273,last,3
274,each,3
275,thousand,3
276,power,3
277,rampant,3
278,raid,3
279,highly,3
280,james,3
281,dyson,3
282,vacuum,3
283,computer,3
284,law,3
285,eric,3
286,allow,3
287,liberation,3
288,fighter,3
289,jet,3
290,history,3
291,regularly,3
292,deny,3
293,access,3
294,serve,3
295,attorney,3
296,action,3
297,finally,3
298,break,3
299,private,3
300,report,3
301,bring,3
302,clear,3
303,might,3
304,issue,3
305,cybertheft,3
306,night,3
307,announce,3
308,westinghouse,3
309,poster,3
310,cyber,3
311,news,3
312,york,3
313,chance,3
314,prosecutor,3
315,hickey,3
316,where,3
317,line,3
318,likely,3
319,late,3
320,successful,3
321,effort,3
322,cargo,3
323,force,3
324,cost,3
325,war,3
326,globe,3
327,decline,3
328,translate,3
329,aerospace,3
330,valuable,3
331,track,3
332,ran,3
333,stole,3
334,our,3
335,team,3
336,information,3
337,investigator,3
